sku,marca,produto,sabor,link_publico
1197,dux,Wpc Dux 900g,Chocolate,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/1197.jpg
1625,dux,Fresh Whey Dux 450g,Frutas Vermelhas,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/1625.jpg
1630,dux,Fresh Whey Dux 31g Sachê,Frutas Vermelhas,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/1630.jpg
1633,dux,Wpi Dux 30g Sachê,Chocolate,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/1633.jpg
1634,dux,Wpi Dux 30g Sachê,Doce De Leite,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/1634.jpg
1767,dux,Wpc Romeu E Julieta Dux 900g,Único,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/1767.jpg
1768,dux,Wpc Churros Dux 900g,Único,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/1768.jpg
1769,dux,Wpc Briga De Dux 900g,Pistache,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/1769.jpg
1844,dux,Wpc Torta De Limao Dux 30g Sachê,Único,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/1844.jpg
1845,dux,Wpc Butter Dux 30g Sachê,Cookies,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/1845.jpg
1846,dux,Wpc Dux 30g Sachê,Morango,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/1846.jpg
2102,dux,Whey Protein Concentrado Dux 1g Sachê,Chocolate Branco,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/2102.jpg
533,dux,Wpc Torta De Limao Dux 450g,Único,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/533.jpg
535,dux,Wpc Choco Branco Dux 450g,Único,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/535.jpg
539,dux,Fresh Whey Dux 450g,Chocolate Belga E Avela,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/539.jpg
540,dux,Fresh Whey E Choco Branco Dux 450g,Pistache,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/540.jpg
541,dux,Fresh Whey Dux 900g,Frutas Vermelhas,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/541.jpg
545,dux,Fresh Whey E Choco Branco Dux 900g,Pistache,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/545.jpg
546,dux,Fresh Whey Dux 900g,Chocolate Belga E Avela,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/546.jpg
554,dux,Wpc Caramelo Salgado Dux 900g,Único,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/554.jpg
556,dux,Wpc Choco Branco Dux 900g,Único,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/556.jpg
557,dux,Wpc Dux 900g,Cookies,https://raw.githubusercontent.com/johnnydemarch/grape5-pack-shots/master/imagens/557.jpg
